"","taxonomy","sample","group1_n","group1_prev","mean_rabund_country1","group2_n","group2_prev","mean_rabund_country2","fisher_p","fisher_padj","wi.ep","wi.eBH","rf_rank","enriched"
"1","Paracoccus","week of life 11",232,82.8,2.594,39,20.5,0.058,3.45866743123319e-14,5.60304123859777e-12,3.10901001640292e-12,5.03659622657273e-10,1,"India"
"2","Micrococcus","week of life 11",232,73.3,1.363,39,15.4,0.061,7.17877160636399e-12,5.81480500115484e-10,8.4629502804875e-09,6.67571399805267e-07,2,"India"
"3","Hydrogenophilus","week of life 11",232,48.3,0.931,39,2.6,0.017,3.21756093740202e-09,1.73748290619709e-07,0.000376509714178542,0.0033252736908817,5,"India"
"4","Brachybacterium","week of life 11",232,37.1,0.299,39,0,0,1.09918452727123e-07,3.98666450375951e-06,0.0103548370570373,0.038496971891892,9,"India"
"5","S31","week of life 11",232,36.6,0.483,39,0,0,1.23045200733318e-07,3.98666450375951e-06,0.00733953673127866,0.0326013250976816,14,"India"
"6","Corynebacterium_1","week of life 11",232,92.7,7.717,39,59,2.374,3.62004201587133e-07,9.77411344285259e-06,1.86947236726661e-06,8.57542617107261e-05,3,"India"
"7","Rubellimicrobium","week of life 11",232,33.2,0.545,39,0,0,1.12667039053727e-06,2.6074371895291e-05,0.0309093873481925,0.0923911886281577,20,"India"
"8","Rheinheimera","week of life 11",232,31,0.314,39,0,0,2.5224059530405e-06,4.54033071547291e-05,0.0242092842262746,0.0791843086084719,21,"India"
"9","Saccharopolyspora","week of life 11",232,31.9,0.163,39,0,0,2.37759809550601e-06,4.54033071547291e-05,0.0362665393439706,0.107493179634952,15,"India"
"10","Haemophilus","week of life 11",232,17.7,0.219,39,53.8,2.109,4.4390309979862e-06,7.09891163722932e-05,3.48593393150583e-05,0.000631867248557526,11,"UK"
"11","Ornithinimicrobium","week of life 11",232,30.2,0.201,39,0,0,4.82024864256312e-06,7.09891163722932e-05,0.0616295733578362,0.148447581050465,23,"India"
"12","Prevotella","week of life 11",232,0.4,0,39,17.9,0.053,5.58409106144731e-06,7.53852293295387e-05,0.0342285420219834,0.0881518628010525,63,"UK"
"13","Candidatus_Aquiluna","week of life 11",232,0,0,39,15.4,0.048,6.27027174272687e-06,7.81372324862887e-05,0.0517772790318966,0.113423366028196,57,"UK"
"14","Exiguobacterium","week of life 11",232,28.9,0.403,39,0,0,9.63475295262106e-06,0.000111487855594615,0.0673074457046998,0.158767180664062,27,"India"
"15","Acinetobacter","week of life 11",232,95.7,6.84,39,71.8,5.041,1.74669410833555e-05,0.000188642963700239,0.00532651283636225,0.0364883241735591,4,"India"
"16","Aeromonas","week of life 11",232,40.5,0.511,39,7.7,0.108,2.4092737480375e-05,0.000243938966988797,0.00769313022466774,0.0369081638825646,19,"India"
"17","Alishewanella","week of life 11",232,31.9,0.307,39,2.6,0.007,2.77661595367659e-05,0.000264595167350358,0.0626146209324523,0.142450289543892,22,"India"
"18","Pseudomonas","week of life 11",232,89.7,2.811,39,61.5,5.172,3.94384663556768e-05,0.000354946197201091,0.101200222787658,0.259195520078173,8,"UK"
"19","Kocuria","week of life 11",232,59.1,1.024,39,23.1,0.035,4.17425440654704e-05,0.000355910112558221,0.000142309951731153,0.00224997905236418,7,"India"
"20","Bifidobacterium","week of life 11",232,87.9,3.268,39,59,0.934,4.49755139342841e-05,0.000364301662867701,0.000145013214129113,0.00264028897755781,6,"India"
"21","Alicyclobacillus","week of life 11",232,0,0,39,12.8,0.026,4.90556553989807e-05,0.00037842934164928,0.0861117044774151,0.167511975165361,73,"UK"
"22","Janibacter","week of life 11",232,25,0.276,39,0,0.001,6.95933679289866e-05,0.000512460254749811,0.189320590842569,0.326057635951544,29,"India"
"23","Cloacibacterium","week of life 11",232,23.7,0.334,39,0,0,0.000130099188015771,0.000916350802545867,0.147665526256123,0.274899899263266,36,"India"
"24","Lelliottia","week of life 11",232,0.4,0.001,39,12.8,0.066,0.00026298257368025,0.00177513237234169,0.0478923196021991,0.118221739237203,87,"UK"
"25","Deinococcus","week of life 11",232,20.3,0.198,39,0,0,0.000433433795223583,0.00242125085607657,0.337747662470362,0.479117516161424,45,"India"
"26","Fodinicola","week of life 11",232,0,0,39,10.3,0.008,0.00037422457118651,0.00242125085607657,0.124779125385752,0.222601618993972,92,"UK"
"27","Geobacillus","week of life 11",232,20.3,0.425,39,0,0,0.000433433795223583,0.00242125085607657,0.35290686557735,0.496065403876397,33,"India"
"28","Qipengyuania","week of life 11",232,20.7,0.271,39,0,0,0.000422266331669828,0.00242125085607657,0.278209205050257,0.432876536663859,37,"India"
"29","Shewanella","week of life 11",232,20.7,0.159,39,0,0,0.000422266331669828,0.00242125085607657,0.290043500143525,0.432615335121049,46,"India"
"30","Rothia","week of life 11",232,75.4,2.26,39,89.7,3.687,0.060698229357597,0.134700180218229,0.000224836826789191,0.00354063722144887,13,"UK"
"31","Aerococcus","week of life 11",232,19.4,0.101,39,0,0,0.000752491503059025,0.00406345411651874,0.322552382421779,0.473428519289274,49,"India"
"32","Gemella","week of life 11",232,38.4,0.63,39,66.7,1.766,0.00140065767573834,0.00648304409913176,0.000359831961612919,0.00440259275065227,16,"UK"
"33","Streptococcus","week of life 11",232,99.6,34.44,39,100,40.523,1,1,0.000332019291233159,0.00453365405799323,12,"UK"
"34","Bradyrhizobium","week of life 11",232,18.5,0.79,39,0,0,0.00136280500760696,0.00648304409913176,0.358136844789978,0.50615793261879,34,"India"
"35","Dolosigranulum","week of life 11",232,5.6,0.056,39,23.1,0.069,0.00132328237296749,0.00648304409913176,0.0580280847903967,0.122109611938809,44,"UK"
"36","PMMR1","week of life 11",232,17.7,0.165,39,0,0,0.00135246022858543,0.00648304409913176,0.408875942610142,0.563397901350745,31,"India"
"37","Propioniciclava","week of life 11",232,18.1,0.091,39,0,0,0.0013243413321014,0.00648304409913176,0.382328067437808,0.533597277479494,55,"India"
"38","SN8","week of life 11",232,0,0,39,7.7,0.006,0.00278589402994401,0.0125365231347481,0.145585448054727,0.265729452160119,126,"UK"
"39","Brevibacterium","week of life 11",232,21.6,0.118,39,2.6,0.008,0.00319760785749845,0.014000337105804,0.328818065329105,0.483346788908246,51,"India"
"40","Chryseomicrobium","week of life 11",232,15.1,0.1,39,0,0,0.0040429713606852,0.0167938810366924,0.438894062145356,0.580326777433481,89,"India"
"41","Ellin6055","week of life 11",232,15.5,0.197,39,0,0,0.00396256181126231,0.0167938810366924,0.441528559125656,0.58085288587726,84,"India"
"42","Vibrio","week of life 11",232,14.2,0.127,39,0,0,0.00674693649747601,0.0273250928147778,0.486416759545737,0.634015077210692,85,"India"
"43","Bacteroides","week of life 11",232,4.7,0.027,39,17.9,0.15,0.0071797191146328,0.0283686462578174,0.0955178813503796,0.187403080949885,56,"UK"
"44","Sphingomonas","week of life 11",232,37.1,0.426,39,15.4,0.158,0.00973399774009727,0.0375454198546609,0.247461916342852,0.407145315470787,65,"India"
"45","Paenibacillus","week of life 11",232,0.4,0.002,39,7.7,0.049,0.0100209024062165,0.0377531672048158,0.163616529332394,0.281851095302581,116,"UK"
"46","Gordonia","week of life 11",232,2.6,0.004,39,12.8,0.026,0.0115391065376995,0.0406377230240722,0.123004202919944,0.234467626397234,95,"UK"
"47","Nocardioides","week of life 11",232,12.9,0.051,39,0,0,0.0113793288653606,0.0406377230240722,0.524559632518017,0.672189520693601,120,"India"
"48","Schlegelella","week of life 11",232,12.9,0.138,39,0,0,0.0113793288653606,0.0406377230240722,0.524244163199584,0.659762362134386,94,"India"
