"","feature_id","Kingdom","Phylum","Class","Order","Family","Genus","Species","Feature","mean","sd","prev","mean_IND","sd_IND","prev_IND","mean_MLW","sd_MLW","prev_MLW"
"113","t216816","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium longum","Bifidobacterium longum",39.842446,33.281443,100,42.239403,33.818393,100,28.146952,27.948653,100
"212","t562","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia coli","Escherichia coli",15.730557,19.445599,98.8,13.948183,18.02279,98.6,24.427309,23.574945,100
"76","t1685","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium breve","Bifidobacterium breve",9.579328,19.228178,99.7,11.24788,20.662524,100,1.437948,3.444968,98.3
"215","t573","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella pneumoniae","Klebsiella pneumoniae",4.665773,12.574391,96.5,5.375712,13.576588,96.8,1.201759,4.063773,94.8
"74","t1681","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium bifidum","Bifidobacterium bifidum",4.212972,10.154682,98.8,4.679652,10.757245,99.3,1.935893,6.019026,96.6
"238","t817","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis","Bacteroides fragilis",1.969411,8.524784,55.4,1.507837,6.928543,48.1,4.221572,13.77555,91.4
"26","t1316412","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. HSISS3","Streptococcus sp. HSISS3",1.299238,2.408523,97.7,1.370264,2.483671,98.2,0.952679,1.9841,94.8
"242","t823","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides distasonis","Parabacteroides distasonis",1.08635,4.98003,46.9,0.787349,4.572959,38.9,2.545267,6.470332,86.2
"77","t1686","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium catenulatum","Bifidobacterium catenulatum",0.903197,3.784284,98.2,1.046073,4.136859,98.6,0.206062,0.398953,96.6
"241","t821","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Phocaeicola","Phocaeicola vulgatus","Phocaeicola vulgatus",0.892494,3.869342,53.1,0.546636,2.659037,45.2,2.580043,7.129767,91.4
"18","t1304","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus salivarius","Streptococcus salivarius",0.845794,1.646844,100,0.843413,1.684374,100,0.85741,1.463211,100
"176","t33038","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Mediterraneibacter","Mediterraneibacter [Ruminococcus] gnavus","Mediterraneibacter [Ruminococcus] gnavus",0.84327,3.724618,61,0.867044,3.897568,60.1,0.727269,2.752771,65.5
"25","t1316411","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. HSISS2","Streptococcus sp. HSISS2",0.829562,1.551259,97.4,0.874187,1.597676,98.2,0.611824,1.291265,93.1
"168","t29466","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella parvula","Veillonella parvula",0.691422,2.619852,93.3,0.681223,2.671478,92.2,0.741188,2.372661,98.3
"239","t818","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides thetaiotaomicron","Bacteroides thetaiotaomicron",0.691312,4.507017,54,0.39671,4.200051,46.6,2.128766,5.599943,89.7
"59","t1596","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus gasseri","Lactobacillus gasseri",0.674567,2.905642,53.4,0.568858,2.473967,54.1,1.190353,4.44451,50
"69","t165179","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella copri","Prevotella copri",0.599538,4.585024,59.2,0.246424,1.829318,52.3,2.32249,10.256775,93.1
"228","t684066","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus lactarius","Streptococcus lactarius",0.57737,2.2912,99.1,0.449016,0.993054,99.6,1.203648,5.094468,96.6
"189","t39777","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella atypica","Veillonella atypica",0.571309,1.370812,90,0.512439,1.291532,89,0.858557,1.689725,94.8
"32","t1351","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecalis","Enterococcus faecalis",0.566523,1.917324,84.2,0.65528,2.073617,85.9,0.133452,0.651709,75.9
"152","t28026","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium pseudocatenulatum","Bifidobacterium pseudocatenulatum",0.532653,2.317282,98.2,0.340955,1.432262,98.2,1.46801,4.561663,98.3
"108","t2107999","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus paragasseri","Lactobacillus paragasseri",0.5042,2.027933,44.6,0.525964,2.174665,46.3,0.398009,1.058307,36.2
"236","t74426","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella aerofaciens","Collinsella aerofaciens",0.4375,1.357844,74.8,0.421581,1.335756,71.4,0.515174,1.470729,91.4
"33","t1352","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecium","Enterococcus faecium",0.428281,5.005904,86.5,0.439648,5.409065,86.6,0.372821,2.17288,86.2
"156","t28116","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides ovatus","Bacteroides ovatus",0.417721,2.247425,40.8,0.278803,1.908397,33.9,1.095543,3.398051,74.1
"203","t47678","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides caccae","Bacteroides caccae",0.409212,3.163279,41.3,0.117664,1.04894,34.6,1.831769,7.194598,74.1
"211","t550","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter cloacae","Enterobacter cloacae",0.379078,2.203819,78.9,0.455806,2.412659,78.4,0.004697,0.019573,81
"139","t2690380","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus sp. JM1","Lactobacillus sp. JM1",0.366334,2.886657,37.8,0.072002,0.600904,39.2,1.802471,6.737147,31
"182","t357276","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Phocaeicola","Phocaeicola dorei","Phocaeicola dorei",0.365796,2.485007,47.8,0.067597,0.438398,38.2,1.820798,5.769608,94.8
"184","t371601","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides xylanisolvens","Bacteroides xylanisolvens",0.360403,1.784863,47.8,0.283613,1.746395,40.3,0.735081,1.93431,84.5
"118","t239935","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","Akkermansia muciniphila",0.341486,2.961713,37.5,0.275887,2.486416,33.2,0.661564,4.648777,58.6
"200","t46503","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides merdae","Parabacteroides merdae",0.32163,4.361732,33.7,0.321993,4.754414,27.6,0.31986,1.283801,63.8
"44","t1492","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium butyricum","Clostridium butyricum",0.266002,2.142813,37,0.311926,2.346673,33.6,0.041922,0.287557,53.4
"62","t1613","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus fermentum","Limosilactobacillus fermentum",0.256878,1.040191,64.2,0.301193,1.135215,64.7,0.040652,0.144743,62.1
"65","t1624","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus salivarius","Ligilactobacillus salivarius",0.255682,1.395863,73.3,0.256378,1.376522,74.2,0.252288,1.499297,69
"240","t820","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides uniformis","Bacteroides uniformis",0.232574,1.098451,47.8,0.153134,0.921866,41.3,0.620186,1.675877,79.3
"41","t1463165","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella quasipneumoniae","Klebsiella quasipneumoniae",0.220561,1.278768,79.8,0.214445,1.199027,80.9,0.250407,1.624916,74.1
"142","t2709390","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides sp. ZJ-18","Bacteroides sp. ZJ-18",0.212798,2.177918,23.5,0.234252,2.371241,20.1,0.108121,0.679788,39.7
"1","t102684","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus infantarius","Streptococcus infantarius",0.208129,1.35963,77.4,0.249807,1.489467,81.3,0.004771,0.014277,58.6
"190","t39778","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella dispar","Veillonella dispar",0.19878,0.681191,87.4,0.139839,0.439303,86.2,0.486371,1.308305,93.1
"136","t2682455","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella sp. S12025-13","Veillonella sp. S12025-13",0.187285,0.737837,85.6,0.158501,0.505661,85.2,0.327729,1.399329,87.9
"98","t2025876","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides sp. CT06","Parabacteroides sp. CT06",0.183857,3.134895,18.8,0.208548,3.440365,13.8,0.063381,0.212534,43.1
"137","t2682456","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella nakazawae","Veillonella nakazawae",0.182425,0.657736,86.8,0.162191,0.479995,86.6,0.28115,1.195291,87.9
"31","t1343","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus vestibularis","Streptococcus vestibularis",0.181389,0.51499,97.7,0.195758,0.54726,98.2,0.111276,0.307001,94.8
"247","t853","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Faecalibacterium","Faecalibacterium prausnitzii","Faecalibacterium prausnitzii",0.169702,2.090767,89.7,0.202582,2.294305,88.3,0.009271,0.027815,96.6
"15","t1290","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus hominis","Staphylococcus hominis",0.157095,0.540714,95.9,0.139235,0.505592,95.8,0.24424,0.685562,96.6
"197","t43675","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Rothia","Rothia mucilaginosa","Rothia mucilaginosa",0.128444,0.293587,94.1,0.105414,0.229595,93.6,0.240812,0.487707,96.6
"104","t208479","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Enterocloster","Enterocloster bolteae","Enterocloster bolteae",0.125118,1.77547,50.1,0.144459,1.948035,50.2,0.030748,0.133345,50
"78","t1689","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium dentium","Bifidobacterium dentium",0.123811,1.008506,97.1,0.143079,1.105021,97.2,0.029795,0.122027,96.6
"121","t244366","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella variicola","Klebsiella variicola",0.122491,0.856175,73.9,0.067919,0.581481,75.3,0.388762,1.616404,67.2
"13","t1282","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus epidermidis","Staphylococcus epidermidis",0.118944,0.58022,99.1,0.128696,0.628651,99.3,0.071362,0.223901,98.3
"167","t292800","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Flavonifractor","Flavonifractor plautii","Flavonifractor plautii",0.116836,0.774251,55.7,0.118429,0.79176,52.3,0.109064,0.688658,72.4
"73","t1680","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium adolescentis","Bifidobacterium adolescentis",0.115845,0.490195,97.1,0.088179,0.284293,97.2,0.250836,1.005543,96.6
"153","t28037","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus mitis","Streptococcus mitis",0.111479,0.264066,100,0.099718,0.25836,100,0.168867,0.285769,100
"112","t2162637","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides sp. PHL 2737","Bacteroides sp. PHL 2737",0.107672,0.504595,20.5,0.110738,0.547614,16.3,0.092709,0.186718,41.4
"27","t1318","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus parasanguinis","Streptococcus parasanguinis",0.106834,0.40685,98.5,0.058775,0.117584,98.6,0.341329,0.922784,98.3
"19","t1308","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus thermophilus","Streptococcus thermophilus",0.10629,0.162887,99.1,0.110763,0.169541,99.6,0.084464,0.124378,96.6
"133","t2610896","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. LPB0220","Streptococcus sp. LPB0220",0.104845,0.420626,97.7,0.056684,0.119337,97.5,0.339833,0.957699,98.3
"23","t1316408","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. HSISM1","Streptococcus sp. HSISM1",0.102663,0.393674,97.7,0.058202,0.114614,97.9,0.319603,0.895401,96.6
"94","t197","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","Campylobacter jejuni","Campylobacter jejuni",0.100258,1.033554,12,0.070446,0.758585,10.2,0.245724,1.870564,20.7
"91","t187327","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus","Acidaminococcus intestini","Acidaminococcus intestini",0.091536,0.377096,45.5,0.106053,0.408751,46.3,0.020702,0.124388,41.4
"235","t729","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","Haemophilus parainfluenzae","Haemophilus parainfluenzae",0.09052,1.071065,67.4,0.078601,1.079934,67.5,0.148674,1.033817,67.2
"199","t437897","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","Megamonas","Megamonas funiformis","Megamonas funiformis",0.087777,0.881392,48.1,0.085503,0.946917,48.1,0.098872,0.444562,48.3
"178","t33945","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus avium","Enterococcus avium",0.087487,0.420041,47.5,0.100988,0.457404,48.4,0.021609,0.109602,43.1
"57","t158836","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter hormaechei","Enterobacter hormaechei",0.087478,0.337498,79.8,0.099372,0.367102,80.9,0.02944,0.092601,74.1
"21","t1313","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus pneumoniae","Streptococcus pneumoniae",0.087262,0.56444,100,0.051633,0.099194,100,0.261112,1.347086,100
"88","t1839799","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. FDAARGOS_192","Streptococcus sp. FDAARGOS_192",0.084152,0.211714,96.5,0.088138,0.229005,97.9,0.064702,0.086277,89.7
"12","t1280","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus","Staphylococcus aureus",0.083752,0.381048,91.2,0.065384,0.219257,91.5,0.173372,0.786389,89.7
"250","t907","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Megasphaera","Megasphaera elsdenii","Megasphaera elsdenii",0.082705,0.5096,54.3,0.095824,0.55714,53.7,0.018691,0.091256,56.9
"195","t40545","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae","Sutterella","Sutterella wadsworthensis","Sutterella wadsworthensis",0.082092,0.444264,23.5,0.026489,0.157715,16.6,0.3534,0.981828,56.9
"95","t197614","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus pasteurianus","Streptococcus pasteurianus",0.081984,0.547633,40.2,0.09802,0.600047,39.9,0.003738,0.007226,41.4
"48","t1502","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium perfringens","Clostridium perfringens",0.079531,0.850075,63.3,0.034355,0.255277,59.7,0.299957,1.982027,81
"53","t1550024","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Ruthenibacterium","Ruthenibacterium lactatiformans","Ruthenibacterium lactatiformans",0.07312,0.804353,32.3,0.08571,0.882108,30.4,0.011686,0.07041,41.4
"52","t1547","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelatoclostridium","Erysipelatoclostridium ramosum","Erysipelatoclostridium ramosum",0.071441,0.541813,35.5,0.082501,0.592606,33.2,0.017472,0.10033,46.6
"85","t1812935","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter roggenkampii","Enterobacter roggenkampii",0.069148,0.974196,71.8,0.081558,1.069176,71.7,0.008597,0.032105,72.4
"174","t33010","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Propionibacteriaceae","Cutibacterium","Cutibacterium avidum","Cutibacterium avidum",0.068368,0.631888,42.5,0.078599,0.692857,42.4,0.018445,0.060303,43.1
"24","t1316410","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. HSISS1","Streptococcus sp. HSISS1",0.064654,0.17316,83,0.066148,0.185272,85.9,0.057366,0.094698,69
"217","t584","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Proteus","Proteus mirabilis","Proteus mirabilis",0.051194,0.394341,24.6,0.06165,0.432253,24.4,0.000178,0.000559,25.9
"47","t150055","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus lutetiensis","Streptococcus lutetiensis",0.04886,0.334941,62.5,0.053333,0.357797,66.1,0.027038,0.187721,44.8
"177","t33039","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Mediterraneibacter","Mediterraneibacter [Ruminococcus] torques","Mediterraneibacter [Ruminococcus] torques",0.047287,0.492745,47.2,0.040107,0.488744,43.1,0.082324,0.514762,67.2
"172","t328813","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes onderdonkii","Alistipes onderdonkii",0.045181,0.791529,15.2,0.052143,0.868547,11.7,0.011209,0.059552,32.8
"115","t227942","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus gastricus","Limosilactobacillus gastricus",0.044893,0.438702,44,0.031195,0.386482,45.6,0.111731,0.635254,36.2
