"","tax_id","mean","sd","taxonomy","group1_country","group1_present","group1_n","group1_prev","group1_mean","group1_sd","group2_country","group2_present","group2_n","group2_prev","group2_mean","group2_sd","fisher_p","fisher_padj","prev_diff","enriched_group1","rf_rank","rf_top20","fisher_col","rab.all","rab.win.India","rab.win.UK","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_country1","mean_rabund_country2","mean_rabund_diff","crossval_median","crossval_quartile_1","crossval_quartile_3"
"43","Klebsiella",0.240849797282052,0.445382118502306,"Klebsiella","India",240,282,85.1,3.6,10.4,"UK",31,55,56.4,2.9,7.2,7.33328688950337e-06,8.3701421424816e-05,28.7,TRUE,11,1,"1",8.80157267155798,9.04472942445152,5.51999758690198,-3.06548547857053,9.76975390594735,-0.301086134383391,0.372621415286559,0.0021861915737273,0.0123058020839781,0.00399650254411051,0.0211665610020347,3.654,3.052,0.602,0.9,0.85,0.95
"44","Kocuria",0.0208496893805903,0.0483075424360069,"Kocuria","India",19,282,6.7,0,0,"UK",0,55,0,0,0,0.0522397587206973,0.106967124999523,6.7,TRUE,61,0,"ns",-1.59344800152128,-1.48349149876272,-2.12839150346891,-0.764902082556018,4.56021933753778,-0.14467284037712,0.426136364144227,0.221665591058975,0.334341152893213,0.211681887764533,0.332133847444425,0.002,0,0.002,0.9,0.85,0.95
"45","Lachnoanaerobaculum",0.0229357363806195,0.0434216361471873,"Lachnoanaerobaculum","India",11,282,3.9,0,0,"UK",4,55,7.3,0,0,0.281019680920615,0.383614167605919,-3.4,FALSE,57,0,"ns",-1.62916384337806,-1.63654638630379,-1.59357612208701,0.123044856826027,4.85166921478975,0.021584251831046,0.48934961665782,0.501087421883904,0.625027752524359,0.526486774365637,0.660071291049284,0.001,0.002,-0.001,0.9,0.85,0.95
"46","Lachnoclostridium",0.0355460721418553,0.0659461585004085,"Lachnoclostridium","India",37,282,13.1,0.1,0.6,"UK",12,55,21.8,0.8,3.1,0.0981785767888531,0.168867152076827,-8.7,FALSE,47,0,"ns",-1.15741727521299,-1.1810079004598,-1.03278441015725,0.483018212531846,7.06319539222468,0.0597518311632029,0.462936665970475,0.229328228320224,0.367297576309723,0.427649770409379,0.572413462964568,0.077,0.763,-0.686,0.9,0.85,0.95
"47","Lactobacillus",0.256881667041978,0.468591148686327,"Lactobacillus","India",214,282,75.9,3.9,8.6,"UK",29,55,52.7,0.5,1,0.000873112301698378,0.00417153655255892,23.2,TRUE,10,1,"1",8.39813636072155,8.84456801770386,4.87300847316729,-3.23679713422902,10.1771632889431,-0.32478494910092,0.344788413537406,0.00048694068545127,0.00387311493939688,0.000213631183079328,0.00175479979423172,3.953,0.548,3.405,0.9,0.85,0.95
"48","Lactococcus",0.0145839017049107,0.0306464370798235,"Lactococcus","India",22,282,7.8,0,0.1,"UK",0,55,0,0,0,0.0324487947924164,0.0715537526191746,7.8,TRUE,70,0,"ns",-1.54896371199234,-1.40294442601308,-2.17978488254139,-0.888333362230507,4.63997162632158,-0.162155955478543,0.419602273282351,0.134691108517679,0.229935502879966,0.137137624409706,0.240218104982846,0.006,0,0.006,0.9,0.85,0.95
"49","Lawsonella",0.0145869264232408,0.0292903916372995,"Lawsonella","India",15,282,5.3,0,0,"UK",3,55,5.5,0,0,1,1,-0.2,FALSE,69,0,"ns",-1.49897935830589,-1.43368940482458,-1.82048732366399,-0.388619736849323,4.63966464792365,-0.0690803211554058,0.464072706860188,0.490465171030616,0.617806397611449,0.431522992782639,0.57420419246807,0.001,0,0.001,0.9,0.85,0.95
"50","Lelliottia",0.0211714319635057,0.0455817433682472,"Lelliottia","India",0,282,0,0,0,"UK",7,55,12.7,0.1,0.3,2.20597791349524e-06,3.79428201121182e-05,-12.7,FALSE,59,0,"3",-1.75365181499103,-1.80022121699489,-1.48133526083451,0.536761173760643,5.28725018020058,0.0856843224531664,0.448579545804077,0.1878836431906,0.297040539806344,0.360046970257746,0.482798318083333,0,0.058,-0.058,0.9,0.85,0.95
"51","Libanicoccus",0.00584730793237396,0.0143714658766199,"Libanicoccus","India",15,282,5.3,0.2,1.5,"UK",0,55,0,0,0,0.143620627531029,0.224570435775791,5.3,TRUE,83,0,"ns",-1.6742546893268,-1.57419717932409,-2.16404646940388,-0.667365748747996,4.74323131647359,-0.118391613903383,0.437659756176864,0.131895479525732,0.225116814312058,0.232518355606024,0.35284215343824,0.169,0,0.169,0.9,0.85,0.95
"52","Megamonas",0.0153731989663198,0.037235283382991,"Megamonas","India",18,282,6.4,0.2,1.7,"UK",1,55,1.8,1.1,7.8,0.332807581680411,0.433658364007808,4.6,TRUE,67,0,"ns",-1.63627847798918,-1.53928995477358,-2.11206933898805,-0.69057503777335,4.93448143638189,-0.108690123534322,0.434251633508515,0.323949006565113,0.449118135357093,0.303872621454055,0.42772896206003,0.232,1.05,-0.818,0.9,0.85,0.95
"53","Megasphaera",0.0566876386469325,0.107683081127046,"Megasphaera","India",63,282,22.3,0.9,4.6,"UK",12,55,21.8,1.2,7,1,1,0.5,TRUE,35,0,"ns",-0.704560958890641,-0.688676996337376,-0.780920473961382,-0.0502619245820872,8.01272922883741,-0.00641707284792348,0.496306818206659,0.686366902142558,0.790295128941938,0.589835912158086,0.71924944630819,0.879,1.201,-0.322,0.9,0.85,0.95
"54","Morganella",0.0203045169424367,0.0417445435659742,"Morganella","India",25,282,8.9,0,0.1,"UK",3,55,5.5,0.2,1.1,0.593434391016257,0.676094057821113,3.4,TRUE,63,0,"ns",-1.4606503481368,-1.4052725551329,-1.7513968830743,-0.310286530408018,5.4235612537963,-0.0457519525942219,0.471022727468275,0.581053521351692,0.697437015058248,0.425385544889974,0.565488113380862,0.017,0.198,-0.181,0.9,0.85,0.95
"55","Negativicoccus",0.0379925689471824,0.0701314590092381,"Negativicoccus","India",45,282,16,0,0.1,"UK",14,55,25.5,0.2,1,0.11874248230496,0.192676480721257,-9.5,FALSE,45,0,"ns",-0.713328829083617,-0.77784974706289,-0.369293157179079,0.598783755863067,5.92144660710967,0.0908792695929267,0.453848338853076,0.276115179582728,0.412320289402258,0.363099762527492,0.507339449263046,0.016,0.201,-0.185,0.9,0.85,0.95
"56","Parabacteroides",0.179705428800857,0.322871634995895,"Parabacteroides","India",43,282,15.2,0.3,1.8,"UK",21,55,38.2,2.6,6.6,0.000242853169945513,0.00130533578845713,-23,FALSE,15,1,"3",-0.952391846390404,-1.11473109922628,0.429343263610809,2.48896671830885,10.6057012467694,0.259967237084435,0.360227273747022,0.00130604865290817,0.00724360609366406,0.00577176559018374,0.0236035074481432,0.31,2.604,-2.294,0.9,0.85,0.95
"57","Peptoniphilus",0.0409400652600302,0.0751644833389565,"Peptoniphilus","India",75,282,26.6,0,0.1,"UK",9,55,16.4,0,0,0.126280726595001,0.201113749762409,10.2,TRUE,44,0,"ns",-0.0965531190062308,-0.0188608354845474,-0.515791922691688,-0.61733259692342,5.26251403688818,-0.102223079957204,0.446590909454266,0.415550119711856,0.550989306741161,0.369484704662257,0.522196344246101,0.014,0.002,0.012,0.9,0.85,0.95
"58","Peptostreptococcus",0.00923556744193593,0.0197774799480919,"Peptostreptococcus","India",17,282,6,0,0.3,"UK",2,55,3.6,0,0,0.74961901267175,0.826503013971417,2.4,TRUE,74,0,"ns",-1.55723718340474,-1.47942171999984,-1.97122571384192,-0.465575246061167,4.85293428729759,-0.0808741939154886,0.454545454853713,0.417839681632221,0.541321507787317,0.346727772147019,0.469461731597335,0.02,0.003,0.017,0.9,0.85,0.95
"59","Phascolarctobacterium",0.0147725961338759,0.0311650725259794,"Phascolarctobacterium","India",7,282,2.5,0,0,"UK",6,55,10.9,0.6,2.9,0.00991014948217615,0.0266335267333484,-8.4,FALSE,68,0,"3",-1.63891470639115,-1.64974344943353,-1.56477357995389,0.322857993273947,5.38898772938039,0.0464572003777653,0.469468901086424,0.19746689118292,0.32888991084978,0.490764986268607,0.623487063561234,0.006,0.647,-0.641,0.9,0.85,0.95
"60","Porphyromonas",0.0215350850523257,0.0414645129696637,"Porphyromonas","India",13,282,4.6,0,0,"UK",7,55,12.7,0,0,0.0291339107494078,0.0677166574175423,-8.1,FALSE,58,0,"ns",-1.5453988976588,-1.59916538998285,-1.26203703868197,0.491445008000494,4.97916495901662,0.0850635338683971,0.456972451299618,0.396665687556758,0.511709499331269,0.398677492843001,0.531983120961777,0.001,0.002,-0.001,0.9,0.85,0.95
"61","Prevotella",0.199599016313292,0.371065912957961,"Prevotella","India",39,282,13.8,0,0,"UK",21,55,38.2,0,0.1,6.84137688177568e-05,0.000490298676527257,-24.4,FALSE,12,1,"3",-0.922556292247792,-1.10473809546211,0.444084604012898,2.28536098742609,6.72971037410004,0.324160318014107,0.359659091933693,0.00633459099959979,0.0245855664360977,0.00556481493775608,0.0226697167559539,0.005,0.027,-0.022,0.9,0.85,0.95
"62","Prevotella_6",0.062473059049908,0.113193294972883,"Prevotella_6","India",3,282,1.1,0,0,"UK",8,55,14.5,0,0,3.52140830069088e-05,0.000336490126510462,-13.4,FALSE,32,0,"3",-1.66871417176473,-1.72056595244751,-1.37915060845494,0.530728086512034,5.09005614079548,0.0928950146538299,0.448011363989842,0.232884461563744,0.345722462098499,0.322027257831448,0.447962967335111,0,0.005,-0.005,0.9,0.85,0.95
"63","Prevotella_9",0.0133530570485741,0.0289345896764934,"Prevotella_9","India",22,282,7.8,0.4,3.1,"UK",3,55,5.5,0.6,4.7,0.778995094893405,0.848019976719403,2.3,TRUE,71,0,"ns",-1.53365829706217,-1.45294898756406,-1.92553289323883,-0.488636677037741,5.24085454956508,-0.0713617995500917,0.462368645525622,0.299490095078063,0.434017835709848,0.354978357237294,0.487506241423274,0.42,0.637,-0.217,0.9,0.85,0.95
"64","Proteus",0.0168528975619994,0.0352834445715118,"Proteus","India",26,282,9.2,0,0.3,"UK",4,55,7.3,0.1,0.5,0.798876802018072,0.858792562169427,1.9,TRUE,65,0,"ns",-1.45902077058675,-1.39142794804884,-1.76898330490378,-0.349773437175668,5.61844248010961,-0.0535844477376979,0.471172962421056,0.631090727113807,0.742516453511909,0.413342631859865,0.546700191544438,0.037,0.115,-0.078,0.9,0.85,0.95
"65","Raoultella",0.0952850720116354,0.185868528635634,"Raoultella","India",23,282,8.2,0,0.3,"UK",14,55,25.5,0.5,2.5,0.000637340492855097,0.00322419308150226,-17.3,FALSE,24,0,"3",-1.33936395880214,-1.41492656150522,-0.899706566045706,0.897119072255347,6.78868619232626,0.124781343068598,0.428977273214782,0.0892130508543258,0.178652696182514,0.20870034260628,0.327003448358479,0.033,0.462,-0.429,0.9,0.85,0.95
"66","Romboutsia",0.00628081803892301,0.0150190644325361,"Romboutsia","India",0,282,0,0,0,"UK",3,55,5.5,0,0,0.00414971560172854,0.0132176126573576,-5.5,FALSE,80,0,"3",-1.77201775479397,-1.76544482606658,-1.80713989209491,0.157239205531402,4.66992549779674,0.029606245072601,0.484521442876084,0.478199694312133,0.60318790672138,0.506974857294971,0.642299317362088,0,0.002,-0.002,0.9,0.85,0.95
"67","Rothia",0.18900196235034,0.334978776609664,"Rothia","India",226,282,80.1,0.2,0.6,"UK",38,55,69.1,0.4,1.6,0.0752734503287522,0.140728624527667,11,TRUE,13,1,"ns",5.9219402301745,6.03204035035243,4.72523687089544,-1.09221043444252,7.14368840326583,-0.143211817293746,0.430559500617951,0.143368293127687,0.288177663729145,0.117628566537302,0.2684372789368,0.259,0.407,-0.148,0.9,0.85,0.95
"68","Ruminiclostridium_5",0.066739748501683,0.134148952984344,"Ruminiclostridium_5","India",8,282,2.8,0,0,"UK",12,55,21.8,0.1,0.1,5.26470915998197e-06,7.54608312930749e-05,-19,FALSE,29,0,"3",-1.55339313662251,-1.65347070063666,-0.880303321288688,1.17988054850283,6.17927319763059,0.16509411391479,0.4082386370023,0.021060087635938,0.0627491624864486,0.0666087187273572,0.145234200590164,0.001,0.053,-0.052,0.9,0.85,0.95
"69","Salmonella",0.064453285614568,0.119585775901572,"Salmonella","India",57,282,20.2,0.3,1.2,"UK",2,55,3.6,0,0.3,0.00162743104048455,0.00653513908503204,16.6,TRUE,31,0,"1",-1.03716593487392,-0.853763922968716,-1.87687244422295,-1.41018077516009,6.25473727322625,-0.200954354306389,0.389772728051946,0.00292046507283747,0.0127327021859899,0.036643137436593,0.0901358668048229,0.27,0.048,0.222,0.9,0.85,0.95
"70","Scardovia",0.0464804130148191,0.0872415938976935,"Scardovia","India",6,282,2.1,0,0,"UK",7,55,12.7,0,0,0.00167177976593843,0.00653513908503204,-10.6,FALSE,41,0,"3",-1.66349757498391,-1.67828151637567,-1.56188954658125,0.418082467582479,5.28149179423669,0.0683141675683819,0.463920454789383,0.373169896645949,0.478134571347271,0.459509598635657,0.582334888704029,0,0.005,-0.005,0.9,0.85,0.95
"71","Senegalimassilia",0.0482342088914682,0.11012045798111,"Senegalimassilia","India",41,282,14.5,0.2,1,"UK",6,55,10.9,0,0.1,0.670059227189936,0.748377838160189,3.6,TRUE,38,0,"ns",-1.20951010900414,-1.13380072449885,-1.58767036962685,-0.532233458923265,6.87505013757966,-0.0709937255014225,0.456250000296517,0.315332807420916,0.456740136664892,0.384110305652154,0.519636097502881,0.202,0.03,0.172,0.9,0.85,0.95
"72","Staphylococcus",0.45934814884073,0.817199272389541,"Staphylococcus","India",249,282,88.3,0.5,3.2,"UK",27,55,49.1,0.1,0.2,5.56747389220105e-10,1.59600918243097e-08,39.2,TRUE,6,1,"1",5.93841850786264,6.27020414110097,2.60770345606836,-3.61153161207276,6.22471613292445,-0.519604541692301,0.265625002020216,4.00009352994805e-06,6.85133865888117e-05,1.00779952941425e-07,1.5642829587804e-06,0.494,0.064,0.43,0.9,0.85,0.95
"73","Streptococcus",1.25788683100447,2.13913165004128,"Streptococcus","India",282,282,100,11.1,11.1,"UK",54,55,98.2,1.6,3.2,0.16320474777448,0.250635862653665,1.8,TRUE,2,1,"ns",12.9682287732135,13.3175741172845,8.6116433232549,-4.43857263483836,4.11998897451108,-0.984528301164441,0.14598126009706,9.20158461010714e-12,5.06435620355736e-10,2.00822996060833e-16,1.72707776612316e-14,11.212,1.566,9.646,0.9,0.85,0.95
"74","Subdoligranulum",0.00675410072273321,0.0159459058550463,"Subdoligranulum","India",2,282,0.7,0,0.3,"UK",3,55,5.5,0.6,4.2,0.0323998833937193,0.0715537526191746,-4.8,FALSE,77,0,"ns",-1.80072262821855,-1.7664605729276,-1.96401237609193,-0.0600100998011079,4.55907044490185,-0.0104769745614696,0.493893780217137,0.552303242035099,0.671984491880998,0.519966322973413,0.649471232916414,0.02,0.706,-0.686,0.9,0.85,0.95
"75","Sutterella",0.0326404394157373,0.0638032026029781,"Sutterella","India",44,282,15.6,0.1,1,"UK",8,55,14.5,0.2,1.3,1,1,1.1,TRUE,50,0,"ns",-1.14252060482787,-1.06454514878252,-1.54310298912889,-0.427362383902761,6.83262273953398,-0.0561988950166268,0.462368645525622,0.56543375022087,0.687515050578664,0.424262799108521,0.563925815357186,0.127,0.222,-0.095,0.9,0.85,0.95
"76","Terrisporobacter",0.00666580504087713,0.0143871146686088,"Terrisporobacter","India",3,282,1.1,0,0.3,"UK",3,55,5.5,0,0.1,0.0573345180426371,0.114669036085274,-4.4,FALSE,78,0,"ns",-1.77630123428769,-1.75483830647623,-1.89299713639162,-0.0632330884735559,4.71507997046272,-0.0125404509147881,0.49460227276358,0.532301898765002,0.654456200791454,0.571955170755431,0.691815039701359,0.018,0.015,0.003,0.9,0.85,0.95
"77","Tyzzerella_3",0.0258575090988799,0.066896470132682,"Tyzzerella_3","India",40,282,14.2,0.1,0.9,"UK",3,55,5.5,0,0.3,0.0805401782074336,0.144301152621652,8.7,TRUE,55,0,"ns",-1.29679955686263,-1.16403047061836,-1.94144748798636,-0.870572385191609,5.55613619310547,-0.131559916500521,0.426420455051278,0.154957433093615,0.266571424211899,0.130930766977175,0.238082975020163,0.091,0.044,0.047,0.9,0.85,0.95
"78","Tyzzerella_4",0.00608722955226917,0.013100611700412,"Tyzzerella_4","India",8,282,2.8,0,0,"UK",3,55,5.5,0.1,0.4,0.396763552790792,0.494516891884176,-2.7,FALSE,82,0,"ns",-1.722827774794,-1.69759803594574,-1.87230734093701,-0.114165106847336,4.89568193105364,-0.0188619620578262,0.491337688215018,0.527269029958229,0.649339505406088,0.471700736903881,0.608068128575153,0.003,0.076,-0.073,0.9,0.85,0.95
"79","UBA1819",0.00771189386641899,0.0171400779282827,"UBA1819","India",8,282,2.8,0,0.2,"UK",5,55,9.1,0.7,4.2,0.0438934245616568,0.092069134446402,-6.3,FALSE,75,0,"ns",-1.65322537473313,-1.6474058189141,-1.68994871323097,0.125702819813952,5.31167038026759,0.0191534069140441,0.488352272805653,0.447035131782151,0.581299823114493,0.555126953918967,0.684831127319566,0.018,0.758,-0.74,0.9,0.85,0.95
"80","unassigned_Enterobacteriaceae",0.0482844924821612,0.0908739202605419,"unassigned_Enterobacteriaceae","India",62,282,22,0.1,0.7,"UK",9,55,16.4,1.3,8.3,0.469462025269152,0.553064851686946,5.6,TRUE,37,0,"ns",-0.831963227648711,-0.716901895533899,-1.35877295465847,-0.650936009563621,7.26349439715842,-0.08227013405817,0.453977273039449,0.633777357879358,0.74760000559222,0.369771460697371,0.513707276730681,0.125,1.345,-1.22,0.9,0.85,0.95
"81","unassigned_Erysipelotrichaceae",0.0892320805063746,0.183088505780763,"unassigned_Erysipelotrichaceae","India",13,282,4.6,0,0.1,"UK",14,55,25.5,0.1,0.2,7.78617873719219e-06,8.3701421424816e-05,-20.9,FALSE,27,0,"3",-1.45634025452311,-1.5694898156995,-0.758912271375385,1.29507231401875,6.30028133224811,0.186587827717083,0.399034365944671,0.0268460815425527,0.0718205366360608,0.0615855197981623,0.13902549013762,0.012,0.065,-0.053,0.9,0.85,0.95
"82","unassigned_Lachnospiraceae",0.137571908904791,0.252398974270732,"unassigned_Lachnospiraceae","India",89,282,31.6,0.5,2.7,"UK",29,55,52.7,2.3,7.2,0.00332664306134063,0.0119204709698039,-21.1,FALSE,17,1,"3",0.29845835552778,0.0290647056658724,3.91054316689925,2.52807930896263,9.42549071454842,0.269981014549528,0.382277762837179,0.0142951504658791,0.0468086445651764,0.0120212388954344,0.0432912070962841,0.536,2.273,-1.737,0.9,0.85,0.95
"83","unassigned_Saccharimonadaceae",0.0657239625451114,0.12796615619468,"unassigned_Saccharimonadaceae","India",5,282,1.8,0,0,"UK",9,55,16.4,0,0.1,4.66585256177868e-05,0.000364784836648152,-14.6,FALSE,30,0,"3",-1.67638480509408,-1.69896336712736,-1.52494237349752,0.597580235113986,5.52501418228995,0.0910377125863421,0.451988636689548,0.212943359301332,0.33216545864828,0.380394431419515,0.518343583300356,0.001,0.022,-0.021,0.9,0.85,0.95
"84","unassigned_Saccharimonadales",0.0505528988132827,0.0946575956403386,"unassigned_Saccharimonadales","India",51,282,18.1,0,0.2,"UK",6,55,10.9,0,0.1,0.240108185465051,0.34415506583324,7.2,TRUE,36,0,"ns",-0.97107046980709,-0.881731648401291,-1.40676398213289,-0.551055372085647,5.76140309474631,-0.083835500699396,0.453977273039449,0.306749123071684,0.442621874629591,0.313793151089012,0.451958631017882,0.026,0.007,0.019,0.9,0.85,0.95
"85","Varibaculum",0.0065168936545119,0.0150903792500582,"Varibaculum","India",24,282,8.5,0,0.1,"UK",3,55,5.5,0,0,0.592086438257977,0.676094057821113,3,TRUE,79,0,"ns",-1.38518556873097,-1.31202922688162,-1.74505098940348,-0.416141377797716,4.99623481828538,-0.0746981501730398,0.460380573968651,0.334820434154859,0.446774993915066,0.33879505167236,0.466009129712546,0.01,0.001,0.009,0.9,0.85,0.95
"86","Veillonella",0.186400998706058,0.354413291442574,"Veillonella","India",261,282,92.6,9.2,12.2,"UK",53,55,96.4,14.2,17.1,0.394158790931139,0.494516891884176,-3.80000000000001,FALSE,14,1,"ns",12.3283983527001,12.0979198947482,13.6047873022977,1.25222014702711,5.63293824395941,0.193291740067113,0.397614314833647,0.00983506192527202,0.0378643933930148,0.010257389737409,0.0448734688152779,9.169,14.312,-5.143,0.9,0.85,0.95
